Epoch,Loss,CurrentLR,BestLoss,StagnantEpochs
239,20.000000,594.517639,4.283854,132
240,20.000000,624.243469,4.283854,133
241,20.000000,655.455627,4.283854,134
242,20.000000,688.228394,4.283854,135
243,20.000000,722.639771,4.283854,136
244,20.000000,758.771729,4.283854,137
245,20.000000,796.710266,4.283854,138
246,20.000000,836.545715,4.283854,139
247,20.000000,878.372986,4.283854,140
248,20.000000,922.291565,4.283854,141
249,20.000000,968.406128,4.283854,142
250,20.000000,1016.826416,4.283854,143
251,20.000000,1067.667725,4.283854,144
252,20.000000,1121.051025,4.283854,145
253,20.000000,1177.103516,4.283854,146
254,20.000000,1235.958618,4.283854,147
255,20.000000,1297.756470,4.283854,148
256,20.000000,1362.644287,4.283854,149
257,20.000000,1430.776489,4.283854,150
258,20.000000,1502.315186,4.283854,151
259,20.000000,1577.430908,4.283854,152
260,20.000000,1656.302368,4.283854,153
261,20.000000,1739.117432,4.283854,154
262,20.000000,1826.073242,4.283854,155
263,20.000000,1917.376831,4.283854,156
264,20.000000,2013.245605,4.283854,157
265,20.000000,2113.907715,4.283854,158
266,20.000000,2219.603027,4.283854,159
267,20.000000,2330.583008,4.283854,160
268,20.000000,2447.112061,4.283854,161
269,20.000000,2569.467529,4.283854,162
270,20.000000,2697.940674,4.283854,163
271,20.000000,2832.837646,4.283854,164
272,20.000000,2974.479492,4.283854,165
273,18.450113,3123.203369,4.283854,166
274,20.000000,3279.363281,4.283854,167
275,20.000000,3443.331299,4.283854,168
276,20.000000,3615.497803,4.283854,169
277,20.000000,3796.272461,4.283854,170
278,20.000000,3986.085938,4.283854,171
279,20.000000,4185.390137,4.283854,172
280,20.000000,4394.659668,4.283854,173
281,20.000000,4614.392578,4.283854,174
282,20.000000,4845.111816,4.283854,175
283,20.000000,5087.367188,4.283854,176
284,20.000000,5341.735352,4.283854,177
285,20.000000,5608.821777,4.283854,178
286,20.000000,5889.262695,4.283854,179
287,20.000000,6183.725586,4.283854,180
288,20.000000,6492.911621,4.283854,181
289,20.000000,6817.557129,4.283854,182
290,20.000000,7158.434570,4.283854,183
291,20.000000,7516.355957,4.283854,184
292,20.000000,7892.173340,4.283854,185
293,20.000000,8286.781250,4.283854,186
294,20.000000,8701.120117,4.283854,187
295,20.000000,9136.175781,4.283854,188
296,20.000000,9592.984375,4.283854,189
297,20.000000,10072.632812,4.283854,190
298,20.000000,10576.263672,4.283854,191
299,20.000000,11105.076172,4.283854,192
300,20.000000,11660.329102,4.283854,193
301,20.000000,12243.344727,4.283854,194
302,20.000000,12855.511719,4.283854,195
303,20.000000,13498.287109,4.283854,196
304,20.000000,14173.201172,4.283854,197
305,20.000000,14881.860352,4.283854,198
306,20.000000,15625.953125,4.283854,199
307,20.000000,16407.250000,4.283854,200
308,20.000000,17227.611328,4.283854,201
309,20.000000,18088.990234,4.283854,202
310,20.000000,18993.439453,4.283854,203
311,20.000000,19943.111328,4.283854,204
312,20.000000,20940.265625,4.283854,205
313,20.000000,21987.277344,4.283854,206
314,20.000000,23086.640625,4.283854,207
315,20.000000,24240.970703,4.283854,208
316,20.000000,25453.017578,4.283854,209
317,20.000000,26725.667969,4.283854,210
318,20.000000,28061.949219,4.283854,211
319,20.000000,29465.044922,4.283854,212
320,20.000000,30938.294922,4.283854,213
321,20.000000,32485.208984,4.283854,214
322,20.000000,34109.468750,4.283854,215
323,20.000000,35814.941406,4.283854,216
324,20.000000,37605.687500,4.283854,217
325,20.000000,39485.968750,4.283854,218
326,20.000000,41460.265625,4.283854,219
327,20.000000,43533.277344,4.283854,220
328,20.000000,45709.937500,4.283854,221
329,20.000000,47995.433594,4.283854,222
330,20.000000,50395.203125,4.283854,223
331,20.000000,52914.960938,4.283854,224
332,20.000000,55560.707031,4.283854,225
333,20.000000,58338.738281,4.283854,226
334,20.000000,61255.671875,4.283854,227
335,20.000000,64318.453125,4.283854,228
336,20.000000,67534.375000,4.283854,229
337,20.000000,70911.093750,4.283854,230
338,20.000000,74456.648438,4.283854,231
339,20.000000,78179.476562,4.283854,232
340,20.000000,82088.445312,4.283854,233
341,20.000000,86192.867188,4.283854,234
342,20.000000,90502.507812,4.283854,235
343,20.000000,95027.625000,4.283854,236
344,20.000000,99779.000000,4.283854,237
345,20.000000,104767.945312,4.283854,238
346,20.000000,110006.335938,4.283854,239
347,19.973927,115506.648438,4.283854,240
348,20.000000,121281.976562,4.283854,241
349,20.000000,127346.070312,4.283854,242
350,20.000000,133713.375000,4.283854,243
351,20.000000,140399.031250,4.283854,244
352,20.000000,147418.968750,4.283854,245
353,20.000000,154789.906250,4.283854,246
354,20.000000,162529.390625,4.283854,247
355,20.000000,170655.859375,4.283854,248
356,20.000000,179188.640625,4.283854,249
357,20.000000,188148.062500,4.283854,250
358,20.000000,197555.453125,4.283854,251
359,20.000000,207433.218750,4.283854,252
360,20.000000,217804.875000,4.283854,253
361,20.000000,228695.109375,4.283854,254
362,20.000000,240129.859375,4.283854,255
363,20.000000,252136.343750,4.283854,256
364,20.000000,264743.156250,4.283854,257
365,20.000000,277980.312500,4.283854,258
366,20.000000,291879.312500,4.283854,259
367,20.000000,306473.250000,4.283854,260
368,20.000000,321796.906250,4.283854,261
369,20.000000,337886.750000,4.283854,262
370,20.000000,354781.062500,4.283854,263
371,20.000000,372520.093750,4.283854,264
372,20.000000,391146.093750,4.283854,265
373,20.000000,410703.375000,4.283854,266
374,18.450113,431238.531250,4.283854,267
375,20.000000,452800.437500,4.283854,268
376,20.000000,475440.437500,4.283854,269
377,20.000000,499212.437500,4.283854,270
378,20.000000,524173.031250,4.283854,271
379,20.000000,550381.687500,4.283854,272
380,20.000000,577900.750000,4.283854,273
381,20.000000,606795.750000,4.283854,274
382,20.000000,637135.500000,4.283854,275
383,20.000000,668992.250000,4.283854,276
384,20.000000,702441.812500,4.283854,277
385,20.000000,737563.875000,4.283854,278
386,20.000000,774442.062500,4.283854,279
387,20.000000,813164.125000,4.283854,280
388,20.000000,853822.312500,4.283854,281
389,20.000000,896513.375000,4.283854,282
390,20.000000,941339.000000,4.283854,283
391,20.000000,988405.875000,4.283854,284
392,20.000000,1037826.125000,4.283854,285
393,20.000000,1089717.375000,4.283854,286
394,20.000000,1144203.250000,4.283854,287
395,20.000000,1201413.375000,4.283854,288
396,20.000000,1261484.000000,4.283854,289
397,20.000000,1324558.125000,4.283854,290
398,20.000000,1390786.000000,4.283854,291
399,20.000000,1460325.250000,4.283854,292
400,20.000000,1533341.500000,4.283854,293
401,20.000000,1610008.500000,4.283854,294
402,20.000000,1690508.875000,4.283854,295
403,20.000000,1775034.250000,4.283854,296
404,20.000000,1863785.875000,4.283854,297
405,20.000000,1956975.125000,4.283854,298
406,20.000000,2054823.750000,4.283854,299
407,20.000000,2157564.750000,4.283854,300
408,20.000000,2265443.000000,4.283854,301
409,20.000000,2378715.000000,4.283854,302
410,20.000000,2497650.750000,4.283854,303
411,20.000000,2622533.250000,4.283854,304
412,20.000000,2753659.750000,4.283854,305
413,20.000000,2891342.500000,4.283854,306
414,20.000000,3035909.500000,4.283854,307
415,20.000000,3187704.750000,4.283854,308
416,20.000000,3347089.750000,4.283854,309
417,20.000000,3514444.000000,4.283854,310
418,20.000000,3690166.000000,4.283854,311
419,20.000000,3874674.000000,4.283854,312
420,20.000000,4068407.500000,4.283854,313
421,20.000000,4271827.500000,4.283854,314
422,20.000000,4485418.500000,4.283854,315
423,20.000000,4709689.000000,4.283854,316
424,20.000000,4945173.000000,4.283854,317
425,20.000000,5192431.500000,4.283854,318
426,20.000000,5452053.000000,4.283854,319
427,20.000000,5724655.500000,4.283854,320
428,20.000000,6010888.000000,4.283854,321
429,20.000000,6311432.000000,4.283854,322
430,20.000000,6627003.500000,4.283854,323
431,20.000000,6958353.500000,4.283854,324
432,20.000000,7306271.000000,4.283854,325
433,20.000000,7671584.000000,4.283854,326
434,20.000000,8055163.000000,4.283854,327
435,20.000000,8457921.000000,4.283854,328
436,20.000000,8880817.000000,4.283854,329
437,20.000000,9324857.000000,4.283854,330
438,20.000000,9791099.000000,4.283854,331
439,20.000000,10280653.000000,4.283854,332
440,20.000000,10794685.000000,4.283854,333
441,20.000000,11334419.000000,4.283854,334
442,20.000000,11901139.000000,4.283854,335
443,20.000000,12496195.000000,4.283854,336
444,18.450113,13121004.000000,4.283854,337
445,19.720181,13777054.000000,4.283854,338
446,20.000000,14465906.000000,4.283854,339
447,20.000000,15189201.000000,4.283854,340
448,20.000000,15948660.000000,4.283854,341
449,20.000000,16746092.000000,4.283854,342
450,20.000000,17583396.000000,4.283854,343
451,20.000000,18462564.000000,4.283854,344
452,20.000000,19385692.000000,4.283854,345
453,20.000000,20354976.000000,4.283854,346
454,20.000000,21372724.000000,4.283854,347
455,20.000000,22441360.000000,4.283854,348
456,20.000000,23563426.000000,4.283854,349
457,20.000000,24741596.000000,4.283854,350
458,19.935272,25978674.000000,4.283854,351
459,20.000000,27277606.000000,4.283854,352
460,20.000000,28641484.000000,4.283854,353
461,20.000000,30073556.000000,4.283854,354
462,20.000000,31577232.000000,4.283854,355
463,20.000000,33156092.000000,4.283854,356
464,20.000000,34813896.000000,4.283854,357
465,20.000000,36554588.000000,4.283854,358
466,20.000000,38382316.000000,4.283854,359
467,20.000000,40301428.000000,4.283854,360
468,20.000000,42316496.000000,4.283854,361
469,20.000000,44432320.000000,4.283854,362
470,20.000000,46653932.000000,4.283854,363
471,20.000000,48986628.000000,4.283854,364
472,20.000000,51435956.000000,4.283854,365
473,20.000000,54007752.000000,4.283854,366
474,8.397668,56708136.000000,4.283854,367
475,8.266733,59543540.000000,4.283854,368
476,7.567548,62520716.000000,4.283854,369
477,8.116170,65646748.000000,4.283854,370
478,8.266733,68929080.000000,4.283854,371
479,8.341425,72375528.000000,4.283854,372
480,8.350004,75994304.000000,4.283854,373
481,6.783610,79794016.000000,4.283854,374
482,6.783610,83783712.000000,4.283854,375
483,6.783610,87972896.000000,4.283854,376
484,6.783610,92371536.000000,4.283854,377
485,6.783610,96990112.000000,4.283854,378
486,6.783610,101839616.000000,4.283854,379
487,6.783610,106931592.000000,4.283854,380
488,6.783610,112278168.000000,4.283854,381
489,6.783610,117892072.000000,4.283854,382
490,6.783610,123786672.000000,4.283854,383
491,6.783610,129976000.000000,4.283854,384
492,6.783610,136474800.000000,4.283854,385
493,6.783610,143298528.000000,4.283854,386
494,6.783610,150463440.000000,4.283854,387
495,6.783610,157986608.000000,4.283854,388
496,6.783610,165885936.000000,4.283854,389
497,6.783610,174180224.000000,4.283854,390
498,6.783610,182889232.000000,4.283854,391
499,6.783610,192033680.000000,4.283854,392
500,6.783610,201635360.000000,4.283854,393
